nom;legume
Ail;oui
Artichaut;oui
Asperge blanche;oui
Asperge verte;oui
Aubergine;oui
Bette;oui
Betterave rouge;oui
Brocoli;oui
Carotte;oui
Catalonia;oui
Céleri;oui
Céleri branche;oui
Céleri rave;oui
Chou blanc;oui
Chou de Bruxelles;oui
Chou frisé;oui
Chou Romanesco;oui
Chou rouge;oui
Chou-chinois;oui
Chou-fleur;oui
Chou-rave;oui
Cima di Rapa;oui
Citrouille;oui
Concombre;oui
Courge;oui
Courgette;oui
Cresson;oui
Endive;oui
Epinard;oui
Fenouil;oui
Haricot;oui
Laitue romaine;oui
Mâche;oui
Maïs;oui
Navet;oui
Oignon;oui
Panais;oui
Pâtisson;oui
Petit oignon blanc;oui
Petit pois;oui
Poireau;oui
Pois mange-tout;oui
Poivron;oui
Pomme de terre;oui
Potimarron;oui
Potiron;oui
Radis;oui
Rhubarbe;non
Salsifis;oui
Topinambour;oui
Abricot;non
Airelle;non
Amande;non
Ananas;non
Avocat;oui
Banane;non
Cassis;non
Cerise;non
Châtaigne;oui
Citron;non
Clémentine;non
Coing;non
Datte;non
Figue fraîche;non
Fraise;non
Framboise;non
Fruit de la passion;non
Grenade;non
Groseille;non
;
Kaki;non
Kiwi;non
Kumquat;non
Litchi;non
Mandarine;non
Mangue;non
Marron;non
Melon;non
Mirabelle;non
Mûre;non
Myrtille;non
Nectarine;non
Noisette;non
Noix;non
Orange;non
Orange sanguine;non
Pamplemousse;non
Papaye;non
Pastèque;non
Pêche;non
Poire;non
Pomme;non
Prune;non
Quetsche;non
Raisin;non
Reine-claude;non
Tomate;oui
